# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
2009M       NGC1028                      0.683     0.22     0.11    0.675     0.16     0.16    0.596     0.08     0.06    0.444     0.39     0.38
2012hh      UGC02180                     0.448     0.31     0.05    0.438     0.29     0.07    0.357     0.10     0.03    0.278     0.16     0.12
2011aq      NGC1056                      0.163     0.34     0.02    0.158     0.25     0.02    0.114    -0.54     0.01    0.085    -0.84     0.03
2004fd      NGC1060                      0.104     0.26     0.02    0.097     0.13     0.03    1.000    -3.17     0.03    0.125    -5.00     0.37
2008ie      NGC1070                      0.596     0.04     0.08    0.566    -1.61     0.05    0.569    -3.59     0.01    0.547    -4.20     0.05
1961V?      NGC1058                      0.800    -1.60     0.14    0.788    -3.35     0.11    0.783    -6.09     0.07    0.755    -6.26     0.22
1969L       NGC1058                      1.000    -4.24     0.22    1.000    -5.73     0.25    0.981    -9.01     0.53    0.979   -11.41    12.94
2007gr      NGC1058                      0.372    -0.80     0.06    0.368    -1.37     0.07    0.327    -3.32     0.01    0.328    -3.73     0.06
1962L       NGC1073                      0.587    -1.21     0.12    0.602    -3.82     0.06    1.000    -5.77     0.05    0.611    -5.79     0.10
1995ak      IC1844                       0.219     0.22     0.05    0.210    -0.68     0.05    0.172    -2.16     0.01    0.138    -2.50     0.05
1963P       NGC1084                      0.639     0.83     0.08    0.651    -0.01     0.07    0.574    -1.43     0.01    0.582    -1.46     0.04
1996an      NGC1084                      0.776    -1.83     0.04    0.796    -2.06     0.05    0.741    -2.66     0.01    0.768    -2.63     0.04
1998dl      NGC1084                      0.676    -0.61     0.04    0.691    -0.97     0.05    0.619    -1.89     0.01    0.632    -1.93     0.04
2009H       NGC1084                      0.768    -1.59     0.04    0.789    -1.96     0.05    0.732    -2.61     0.01    0.758    -2.44     0.04
2012ec      NGC1084                      0.517    -0.41     0.04    0.519    -0.62     0.05    0.433    -1.43     0.01    0.433    -1.46     0.04
