# SITEPH_WISE PROFILE DATA - Sat Jan  3 16:28:19 2015
# SN        host                        w1Frac      dw1   dw1err   w2Frac      dw2   dw2err   w3Frac      dw3   dw3err   w4Frac      dw4   dw4err
1961F       NGC3003                      0.757    -1.70     0.08    0.799    -2.63     0.09    0.818    -4.82     0.04    0.794    -4.74     0.10
2012hs      ESO213-002                   0.909     1.64     0.14    0.899     1.47     0.21    0.665    -0.05     0.08    0.637    -0.08     0.40
1995al      NGC3021                      0.720    -0.41     0.05    0.726    -0.77     0.06    0.648    -2.16     0.01    0.550    -2.58     0.04
2002bh      UGC05286                     0.713    -0.96     0.13    0.755    -2.72     0.10    0.733    -5.52     0.07    0.638    -6.06     0.28
2009mu      ESO374-003                   0.374    -0.19     0.09    0.364    -0.92     0.09    0.350    -3.27     0.02    0.258    -3.84     0.11
1983E       NGC3044                      0.462    -0.24     0.05    0.480    -0.52     0.06    0.521    -1.78     0.01    0.421    -1.90     0.04
2004de      NGC3054                      0.699    -0.34     0.09    0.689    -1.18     0.10    0.644    -3.82     0.02    0.626    -4.44     0.10
2006T       NGC3054                      0.381    -0.37     0.06    0.370    -0.81     0.08    0.217    -3.40     0.02    0.205    -4.00     0.09
2008br      IC2522                       0.291     0.42     0.07    0.281    -0.10     0.08    0.260    -1.57     0.01    0.234    -1.87     0.06
2008co      IC2522                       0.077     0.16     0.04    0.074    -0.06     0.05    0.057    -1.16     0.01    0.049    -1.42     0.05
1993J       NGC3031                      0.593     0.23     0.07    0.583    -0.41     0.08    0.339    -3.49     0.02    0.293    -4.38     0.07
2004am      NGC3034                      0.771    -3.69     0.01    0.819    -3.74     0.01    0.593    -3.09     0.01    0.691    -3.52     0.01
2008iz      NGC3034                      0.062     0.08     0.01    0.106    -0.09     0.01    0.001    -1.10     0.02    0.000    -2.77     0.06
2014J       NGC3034                      0.917    -3.73     0.02    0.934    -3.75     0.03    0.804    -2.99     0.01    0.831    -2.72     0.03
2009am      NGC3060                      0.852    -0.92     0.07    0.845    -1.69     0.08    0.812    -4.30     0.03    0.720    -4.67     0.10
2007aw      NGC3072                      0.458    -0.17     0.04    0.446    -0.46     0.06    0.391    -2.60     0.02    0.264    -3.43     0.09
1998W       NGC3075                      1.000    -0.40     0.28    1.000    -0.39     0.28    0.658    -0.40     0.06    0.585     0.14     0.31
1965N       NGC3074                      0.149     0.01     0.09    0.144    -1.03     0.09    0.094    -4.27     0.04    0.155    -4.31     0.12
2002cp      NGC3074                      0.945    -2.57     0.17    0.936    -4.48     0.19    0.941    -7.57     0.32    1.000    -7.88     1.29
2007cj      IC2531                       0.010     0.15     0.03    0.010     0.04     0.04    0.005    -2.02     0.03    0.004    -2.89     0.22
2013E       IC2532                       0.476     0.41     0.10    0.496    -0.59     0.10    0.626    -3.06     0.02    0.512    -2.95     0.07
2004ej      NGC3095                      0.713    -0.18     0.11    0.731    -1.20     0.10    0.741    -3.25     0.02    0.814    -3.28     0.06
2008bp      NGC3095                      0.869    -1.35     0.10    0.883    -2.35     0.10    0.885    -4.47     0.03    0.930    -4.54     0.09
2007S       UGC05378                     0.853    -1.56     0.08    0.816    -1.45     0.13    0.815    -1.24     0.06    0.631    -0.60     0.29
2001ci      NGC3079                      0.514    -0.63     0.03    0.542    -0.76     0.04    0.527    -1.36     0.01    0.467    -1.35     0.04
2013ee      NGC3079                      0.829    -2.31     0.03    0.839    -2.51     0.05    0.826    -3.45     0.01    0.825    -3.28     0.05
1999ca      NGC3120                      0.750    -0.24     0.11    0.792    -1.27     0.10    0.725    -3.28     0.02    0.666    -3.64     0.08
2010F       NGC3120                      0.606     0.23     0.09    0.637    -0.66     0.09    0.532    -2.53     0.02    0.473    -3.00     0.07
1997cx      NGC3057                      0.085     0.18     0.14    0.083     0.11     0.21    0.143    -0.07     0.13    0.108     0.50     0.61
2009kl      IC2548                       0.332     0.98     0.19    0.349     0.75     0.26    0.366     0.85     0.15    0.395     0.04     0.54
2002bl      UGC05499                     0.623    -0.29     0.08    0.623    -0.27     0.13    0.607    -0.42     0.07    0.487    -0.39     0.31
2012gl      NGC3153                      0.964    -2.35     0.14    0.950    -3.96     0.15    0.962    -7.39     0.31    0.945    -7.59     0.87
2008hx      NGC3154                      0.780    -0.98     0.04    0.801    -0.94     0.05    0.725    -0.80     0.02    0.561    -0.65     0.07
1999gf      UGC05515                     0.757     0.75     0.26    0.785     0.36     0.38    0.822   -99.00    -9.00    1.000   -99.00    -9.00
2012cw      NGC3166                      0.794    -0.84     0.09    0.806    -1.98     0.08    0.761    -5.79     0.06    0.776    -6.86     0.39
1984E       NGC3169                      0.743    -0.69     0.10    0.721    -1.99     0.09    0.790    -4.74     0.03    0.726    -5.30     0.11
2003cg      NGC3169                      0.301     0.41     0.03    0.291     0.23     0.04    0.226    -1.24     0.01    0.171    -2.08     0.04
2012cl      ESO263-023                   1.000   -51.84   176.52    1.000    -4.49     0.16    1.000     1.05     1.15    1.000    -7.20    19.70
2000L       UGC05520                     0.715     0.52     0.26    0.739     0.89     0.47    0.755     1.78     0.30    0.650     0.03     0.64
2008gx      NGC3144                      0.332     0.49     0.09    0.335     0.55     0.14    0.409     0.31     0.07    0.341     0.22     0.35
2011dd      NGC3178                      0.442    -0.15     0.07    0.433    -0.20     0.11    0.390    -0.20     0.04    0.299    -0.23     0.19
2001ie      UGC05542                     0.800     1.64     0.30    0.797     1.47     0.43    0.917   -99.00    -9.00    0.383    -0.03     1.48
1972H       NGC3147                      0.705    -0.10     0.08    0.697    -0.79     0.09    0.663    -2.59     0.02    0.670    -2.91     0.06
1997bq      NGC3147                      0.842    -0.35     0.11    0.834    -1.44     0.11    0.833    -3.74     0.02    0.850    -4.20     0.06
2006gi      NGC3147                      0.982    -1.94     0.19    0.978    -3.65     0.12    0.980    -6.50     0.03    0.982    -6.96     0.11
2008fv      NGC3147                      0.583    -0.03     0.06    0.572    -0.51     0.07    0.491    -2.06     0.02    0.489    -2.39     0.06
2002bo      NGC3190                      0.411     0.63     0.03    0.404     0.41     0.05    0.315    -2.14     0.01    0.264    -3.02     0.05
2002cv      NGC3190                      0.814    -2.11     0.03    0.815    -2.36     0.05    0.797    -4.52     0.02    0.781    -5.07     0.09
1921B       NGC3184                      0.858    -0.78     0.17    0.839    -2.85     0.10    0.906    -5.64     0.04    0.931    -6.12     0.15
1921C       NGC3184                      0.977    -2.34     0.26    0.968    -4.78     0.15    0.989    -8.49     0.35    0.994   -10.21     4.77
1937F       NGC3184                      0.817    -0.65     0.16    0.800    -2.53     0.10    0.872    -5.17     0.03    0.898    -5.59     0.10
1999gi      NGC3184                      0.292    -0.71     0.07    0.278    -1.49     0.08    0.242    -3.55     0.01    0.270    -3.97     0.06
2010dn?     NGC3184                      0.355    -0.57     0.08    0.341    -1.43     0.08    0.316    -3.50     0.01    0.342    -3.95     0.06
1953D       NGC3200                      0.958    -2.13     0.16    0.962    -4.05     0.16    0.966    -7.26     0.31    0.921    -7.12     0.74
2009jy      NGC3208                      0.817    -0.59     0.13    0.870    -2.07     0.11    0.899    -5.03     0.06    0.816    -5.10     0.17
1966J       NGC3198                      1.000    -5.25     0.49    1.000    -7.15     1.41    1.000   -11.91    20.74    1.000    -9.71     4.61
1999bw?     NGC3198                      0.978    -3.36     0.13    0.977    -4.57     0.16    0.982    -7.21     0.20    0.980    -7.63     0.84
1988I       PGC086944                    0.133     1.61     0.10    0.129     1.55     0.15    0.095     1.23     0.08    0.059     0.80     0.40
1961L       NGC3221                      0.986    -4.19     0.16    0.992    -5.01     0.25    0.975    -6.80     0.15    0.978    -7.17     0.53
1976K       NGC3226                      0.340     0.25     0.10    0.327     0.25     0.16    0.115     0.01     0.18    0.053   -99.00    -9.00
1983U       NGC3227                      0.261     0.82     0.05    0.368     1.02     0.08    0.454     1.05     0.03    0.474     0.72     0.08
2008ef      NGC3241                      0.365    -0.00     0.05    0.351    -0.39     0.07    0.262    -2.62     0.02    0.276    -3.03     0.07
2012A       NGC3239                      0.371    -1.38     0.08    0.375    -2.25     0.08    0.349    -5.69     0.05    0.409    -5.26     0.08
2010ev      NGC3244                      0.194     0.28     0.06    0.197     0.27     0.10    0.155     0.23     0.04    0.140     0.22     0.20
2001db      NGC3256                      0.507    -0.09     0.02    0.567     0.03     0.02    0.492    -0.11     0.01    0.423     0.24     0.02
2010hx      NGC3258                      0.481     0.09     0.08    0.474    -0.62     0.09    0.613    -5.59     0.11    0.439    -5.74     0.41
1997Z       NGC3261                      0.653     0.24     0.13    0.631     0.14     0.18    0.546     0.12     0.08    0.504     0.41     0.40
2008fw      NGC3261                      0.811    -0.58     0.13    0.798    -0.45     0.21    0.773    -0.57     0.09    0.739    -0.49     0.41
1999gj      NGC3251                      0.745    -0.06     0.08    0.736    -0.97     0.09    0.678    -3.75     0.02    0.532    -4.47     0.11
1941B       NGC3254                      0.943    -2.05     0.10    0.933    -3.16     0.10    0.944    -6.48     0.13    0.958    -6.83     0.47
2009bb      NGC3278                      0.817    -1.17     0.05    0.824    -1.46     0.06    0.819    -2.06     0.01    0.720    -2.02     0.05
1985C       ESO436-036                   0.005     0.96     0.06    0.005     0.85     0.10    0.003     0.58     0.11    0.003     0.53     0.75
2007av      NGC3279                      0.273    -0.17     0.03    0.262    -0.71     0.04    0.232    -2.21     0.01    0.188    -3.00     0.05
2013ge      NGC3287                      0.872    -1.60     0.10    0.875    -2.80     0.10    0.941    -5.73     0.08    0.899    -5.67     0.18
1990H       NGC3294                      0.214     0.12     0.05    0.210    -0.25     0.06    0.173    -1.85     0.01    0.159    -2.21     0.05
1992G       NGC3294                      0.347    -0.22     0.05    0.345    -0.57     0.06    0.318    -2.00     0.01    0.297    -2.35     0.05
2002hg      NGC3306                      0.677    -0.60     0.05    0.663    -0.61     0.07    0.589    -0.66     0.03    0.477    -0.70     0.09
2000cl      NGC3318                      0.255     0.01     0.05    0.248    -0.28     0.06    0.178    -1.52     0.01    0.173    -1.46     0.05
2002jp      NGC3313                      0.992    -4.34     0.27    1.000    -7.10     1.37    0.984    -8.66     0.64    1.000    -8.31     1.60
2007cv      IC2597                       0.481     0.64     0.08    0.457    -0.15     0.09    0.530    -5.04     0.07    0.314    -6.13     0.53
1974C       NGC3310                      0.500     0.52     0.04    0.508     0.37     0.05    0.457    -0.26     0.01    0.436     0.01     0.03
1991N       NGC3310                      0.220     0.15     0.02    0.213     0.08     0.03    0.168    -0.21     0.01    0.158     0.04     0.02
1984S       NGC3336                      0.133     0.30     0.06    0.122     0.27     0.09    0.042    -0.10     0.06    0.045     0.04     0.30
2012fh      NGC3344                      0.769    -0.82     0.11    0.764    -2.20     0.09    0.726    -4.86     0.02    0.716    -5.36     0.08
2012aw      NGC3351                      0.801    -0.68     0.10    0.816    -2.15     0.08    0.768    -4.99     0.02    0.842    -5.51     0.09
1986A       NGC3367                      0.432    -0.37     0.06    0.437    -1.02     0.06    0.461    -2.85     0.01    0.594    -2.33     0.04
1992C       NGC3367                      0.688    -0.01     0.10    0.699    -1.26     0.08    0.703    -3.37     0.01    0.748    -3.64     0.04
