# SITEPH_SDSS PROFILE DATA - Sat Jan  3 16:51:45 2015
# SN        host                         jFrac       dj    djerr    hFrac       dh    dherr    kFrac       dk    dkerr
2012cl      ESO263-023                   1.000    -5.48     5.90    1.000    -1.19    11.03    1.000    -4.98     6.73
2000L       UGC05520                     0.469    -0.36     3.02    0.497     0.35     3.89    0.563    -0.54     2.90
2008gx      NGC3144                      0.564     0.22     1.40    0.498     0.26     1.30    0.596     0.35     1.45
1947A       NGC3177                      0.775   -99.00    -9.00    0.823    -0.61     3.35    0.852   -99.00    -9.00
2001ie      UGC05542                     0.693     0.41     3.34    0.835     0.43     3.58    0.658   -99.00    -9.00
1972H       NGC3147                      0.852    -0.18     1.59    0.949     0.29     2.27    0.925    -0.14     1.83
1997bq      NGC3147                      0.969     0.22     3.55    1.000   -99.00    -9.00    0.998   -99.00    -9.00
2006gi      NGC3147                      1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2008fv      NGC3147                      0.725     0.03     1.23    0.835     0.01     1.20    0.806     0.27     1.41
2002bo      NGC3190                      0.396     0.55     0.61    0.392     0.50     0.53    0.427     0.54     0.58
2002cv      NGC3190                      0.766    -1.66     0.70    0.750    -1.90     0.57    0.794    -2.08     0.58
1921B       NGC3184                      0.885    -0.75     2.80    0.887    -0.33     3.02    0.914     0.16     5.12
1921C       NGC3184                      0.981     1.18    24.57    0.993   -99.00    -9.00    0.991    -2.40     4.67
1937F       NGC3184                      0.848    -0.45     2.76    0.845     1.35     6.14    0.878    -0.01     3.84
1999gi      NGC3184                      0.292    -0.45     1.33    0.300    -0.63     1.14    0.318    -0.61     1.28
2010dn?     NGC3184                      0.353    -0.53     1.35    0.361    -0.54     1.27    0.385    -0.53     1.43
1953D       NGC3200                      0.965     0.74    10.99    0.961    -1.65     3.56    0.966    -2.69     2.92
1988B       NGC3191                      0.485     0.36     1.31    0.495     0.38     1.23    0.521     0.43     1.35
2002jm      IC0603                       0.396     1.05     1.04    0.401     0.98     0.90    0.208     1.08     1.03
2009jy      NGC3208                      0.692    -0.01     3.02    0.782     0.30     2.98    0.792    -0.33     2.71
1966J       NGC3198                      1.000    -2.85     7.81    1.000    -1.98     5.50    1.000    -4.00     4.59
1999bw?     NGC3198                      0.963    -3.15     2.49    0.911    -2.59     2.33    0.955    -3.32     2.84
1988I       PGC086944                    0.152     2.96     3.10    0.152     2.51     2.03    0.164     2.62     2.22
1961L       NGC3221                      0.949    -3.64     2.08    0.897    -1.63     2.45    0.983    -4.92     2.81
1999Z       UGC05608                     0.795    -1.39     1.63    0.840    -1.73     1.40    0.848    -1.53     1.42
1976K       NGC3226                      0.415     0.36     1.69    0.190     0.54     1.82    0.129     0.33     1.65
1983U       NGC3227                      0.218     0.56     0.89    0.226     0.62     0.82    0.128     0.61     0.90
2008ef      NGC3241                      0.184    -0.86     0.89    0.220    -1.38     0.79    0.237    -1.93     0.83
2001M       NGC3240                      0.645     0.06     2.08    0.824    -0.26     1.73    0.411     0.50     2.51
2012A       NGC3239                      0.755    -0.61     1.47    0.543    -0.51     1.31    0.644    -0.65     1.52
2010ev      NGC3244                      0.198     0.25     1.12    0.200     0.14     1.00    0.235     0.21     1.13
2008at      UGC05645                     0.392     0.65     1.03    0.442     0.76     0.92    0.438     0.89     0.97
2001db      NGC3256                      0.415    -0.64     0.41    0.370    -0.65     0.36    0.460    -0.65     0.38
2010hx      NGC3258                      0.382     0.20     1.47    0.460    -0.10     1.21    0.564     0.24     1.60
1997Z       NGC3261                      0.669     0.45     2.39    0.724     0.60     2.44    0.687     0.18     2.12
2008fw      NGC3261                      0.809    -1.35     1.54    0.860    -1.13     1.83    0.820    -0.27     2.78
1999gj      NGC3251                      0.647     0.07     1.65    0.614    -0.01     1.43    0.628     0.17     1.71
1941B       NGC3254                      0.927    -1.63     2.01    0.949    -1.53     1.96    0.950    -1.94     1.86
1991S       UGC05691                     0.865     0.47     5.50    0.911    -0.88     3.68    0.814    -0.55     2.79
1993N       UGC05695                     0.863    -0.66     2.70    0.883    -1.11     2.36    0.843    -0.83     3.26
1994N       UGC05695                     0.753     0.25     3.34    0.795     1.21     4.91    0.774    -0.90     3.06
1985C       ESO436-036                   0.000     1.43     0.78    0.000     1.30     0.69    0.000     1.53     0.71
2007av      NGC3279                      0.230    -0.23     0.61    0.126    -0.27     0.50    0.170    -0.25     0.53
2013ge      NGC3287                      0.855    -0.60     2.52    0.869    -1.12     1.84    0.848    -1.13     2.07
1993B       A103451-3426                 0.442   -99.00    -9.00    0.447   -99.00    -9.00    0.455   -99.00    -9.00
1990H       NGC3294                      0.236    -0.83     0.85    0.228    -1.36     0.74    0.248    -1.78     0.84
1992G       NGC3294                      0.368    -1.11     0.85    0.354    -1.60     0.75    0.384    -2.10     0.82
2002hg      NGC3306                      0.699    -0.52     1.01    0.700    -0.55     0.94    0.670    -0.68     0.99
2000cl      NGC3318                      0.239    -0.25     0.79    0.248    -0.17     0.75    0.261    -0.20     0.80
2002jp      NGC3313                      0.996   -99.00    -9.00    0.991   -99.00    -9.00    0.980   -99.00    -9.00
2007cv      IC2597                       0.509     1.14     1.83    0.374     1.28     1.77    0.583     1.03     1.79
1974C       NGC3310                      0.330     0.17     0.77    0.158     0.15     0.71    0.269     0.23     0.82
1991N       NGC3310                      0.172    -0.07     0.38    0.083    -0.07     0.35    0.142    -0.10     0.38
1975D       UGC05793                     0.584     0.85     1.52    0.637     0.96     1.37    0.634     1.08     1.45
2006al      A103929+0511                 0.445     1.64     2.36    0.380     1.63     2.11    0.174     3.05     4.73
2004bs      NGC3323                      0.164    -0.09     0.84    0.248    -0.01     0.78    0.197    -0.04     0.87
2005kk      NGC3323                      0.687    -0.26     2.45    0.871    -0.55     2.21    0.740    -0.47     2.54
2001N       NGC3327                      0.123     0.58     0.47    0.106     0.58     0.42    0.120     0.57     0.46
1984S       NGC3336                      0.125     0.10     1.02    0.164     0.03     0.89    0.153     0.26     1.09
2005ki      NGC3332                      0.901    -1.03     3.75    0.958   -99.00    -9.00    0.941   -99.00    -9.00
1985D       ESO264-032                   0.120     0.79     0.98    0.109     0.71     0.88    0.099     0.73     0.96
2005O       NGC3340                      0.262     0.38     0.80    0.292     0.33     0.71    0.320     0.36     0.77
2007fp      NGC3340                      0.112     0.44     0.57    0.126     0.42     0.51    0.136     0.41     0.55
2012fh      NGC3344                      0.744    -0.23     2.58    0.973    -0.17     3.47    0.939    -0.85     2.84
2012aw      NGC3351                      0.749    -0.92     2.06    0.709    -1.45     1.87    0.774    -0.80     3.66
2001Y       NGC3362                      0.284     0.64     2.75    0.191    -0.03     1.72    0.226     0.37     2.34
2010ct      NGC3362                      0.372    -1.13     2.98    0.268    -1.00     2.09    0.310    -1.30     2.16
2005Z       NGC3363                      0.241     0.56     0.76    0.246     0.55     0.67    0.267     0.63     0.73
1986A       NGC3367                      0.429    -0.18     1.11    0.493    -0.01     1.12    0.465    -0.02     1.21
1992C       NGC3367                      0.694     0.67     2.34    0.786     0.37     1.93    0.734     0.34     2.11
2003aa      NGC3367                      0.713     0.10     1.86    0.806     0.03     1.72    0.752     0.06     1.94
2007am      NGC3367                      0.347    -0.08     1.04    0.399    -0.19     0.92    0.377    -0.24     0.99
1985H       NGC3359                      0.334     0.53     2.07    0.362     0.22     1.75    0.337     0.14     1.85
1998bu      NGC3368                      0.515    -0.41     1.06    0.546    -0.86     0.99    0.560    -1.38     1.08
1994ae      NGC3370                      0.741     0.83     4.91    0.697    -0.53     3.15    0.728    -1.83     2.35
2004bi      UGC05894                     0.959    -1.50     2.98    0.972    -0.91     3.94    0.936    -1.33     3.64
2005as      NGC3450                      0.000     3.84     0.39    0.000     3.97     0.34    0.000     3.85     0.38
1967C       NGC3389                      1.000    -2.90     4.53    1.000    -3.55     5.06    1.000    -2.83     5.67
2009md      NGC3389                      0.769    -1.11     1.31    0.792    -1.14     1.30    0.776    -0.92     1.57
2003A       UGC05904                     1.000    -5.84     1.72    1.000    -5.19     1.75    1.000    -5.43     2.01
2008bt      NGC3404                      0.975    -4.58     0.73    0.984    -4.84     0.65    0.996    -4.94     0.76
2005cd      IC0651                       0.854    -0.29     1.37    0.896    -0.16     1.38    0.859    -0.08     1.56
2009ls      NGC3423                      0.347    -0.46     1.51    0.320     0.07     1.69    0.409    -0.04     2.05
2009al      NGC3425                      1.000    -1.40     5.99    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2008ah      PGC032586                    0.729     0.84     3.79    0.784     1.19     4.49    0.628    -0.52     2.03
2004ez      NGC3430                      0.905     0.93     5.12    0.899     0.74     4.21    0.855    -0.01     3.28
2000ch?     NGC3432                      1.000    -3.35    13.51    1.000    -4.35    31.40    1.000    -4.69    10.13
2004bn      NGC3441                      0.621     0.42     1.25    0.644     0.44     1.10    0.631     0.37     1.13
2004bm      NGC3437                      0.393    -0.68     0.44    0.395    -0.68     0.39    0.421    -0.71     0.41
2007sv?     UGC05979                     0.024     0.07     2.38    0.006    -0.60     2.49    0.012    -0.41     2.33
2012bu      NGC3449                      0.867    -0.38     1.96    0.860     0.04     2.11    0.829   -99.00    -9.00
2012ht      NGC3447                      0.241     0.06     2.73    0.221     0.50     3.07    0.219    -0.53     2.51
2006cf      UGC06015                     0.094     0.15     1.00    0.093     0.15     0.90    0.088     0.13     0.94
2012am      UGC06015                     0.292     0.48     1.37    0.289     0.61     1.31    0.257     0.64     1.46
1997dn      NGC3451                      0.986    -4.40     1.89    0.965    -4.99     2.40    0.959    -2.63     2.02
2009X       UGC06019                     0.358    -0.26     0.60    0.380    -0.31     0.52    0.385    -0.28     0.57
2014G       NGC3448                      0.812    -2.57     2.11    0.883    -3.91     2.40    0.927    -2.75     2.18
2002J       NGC3464                      0.702    -0.90     1.48    0.713    -1.10     1.23    0.730    -1.01     1.46
2002hy      NGC3464                      0.670    -0.64     1.48    0.680    -0.70     1.33    0.699    -0.28     1.81
