 1962B                  230.68879167  29.76894444      5.0     -1.0  UGC09831                       230.68737500  29.76983333
 1962C                  241.27079167  17.58183333     12.0      6.0  MCG+03-41-085                  241.26783333  17.58033333
 1962D                  158.30233333 -27.91980556     -0.0     -2.0  MCG-05-25-012                  158.30258333 -27.91883333
 1962E                  168.77304167  25.89213889     -4.0    -14.0  MCG+04-27-010                  168.77441667  25.89613889
 1962F                  124.36887500  21.67422222     38.0    -40.0  UGC04308                       124.35750000  21.68561111
 1962G                  232.02750000  29.01005556      4.0     -4.0  PGC055172                      232.02604167  29.01133333
 1962H                  201.13104167 -21.13755556    -19.0     -3.0  IC4237                         201.13670833 -21.13672222
 1962I                  195.71820833  27.51955556     -8.0      7.0  MCG+05-31-112                  195.72016667  27.51822222
 1962J                  298.62591667 -12.57375000    -42.0    -23.0  NGC6835                        298.63787500 -12.56736111
 1962K                   41.62750000  -0.24455556    -52.0     10.0  NGC1090                         41.64141667  -0.24705556
 1962L                   40.92062500   1.39713889     10.0     77.0  NGC1073                         40.91787500   1.37575000
 1962M                   49.56437500 -66.53908333     -0.0   -150.0  NGC1313                         49.56437500 -66.49741667
 1962N                  230.29725000  26.33233333     -0.0      3.0  MCG+05-36-013                  230.29758333  26.33152778
 1962O                   51.13145833  40.02216667     15.0     11.0  MCG+07-08-001                   51.12600000  40.01911111
 1962P                   71.45695833  -2.08888889     18.0    -18.0  NGC1654                         71.45195833  -2.08388889
 1962Q                  111.67000000  85.75222222    -34.0    -11.0  NGC2276                        111.79758333  85.75527778
 1962R                   35.37958333  39.38277778     19.8     19.8  UGC01810                        35.36966667  39.37561111
 1963A                  231.75004167  26.45044444    -10.0      1.0  MCG+05-36-032                  231.75266667  26.45022222
 1963B                  227.88091667   5.24411111      3.0     -6.0  PGC054219                      227.88012500   5.24561111
 1963C                  194.44891667  27.88494444     -5.0      6.0  MCG+05-31-032                  194.45025000  27.88288889
 1963D                  182.58195833  26.42341667     19.0    -27.0  NGC4146                        182.57604167  26.43091667
 1963E                   21.60516667  -1.64166667      2.0    -11.0  NGC0557                         21.60475000  -1.63983333
 1963F                  230.60775000  27.82455556     -1.0     -7.0  MCG+05-36-018                  230.60787500  27.82680556
 1963G                  184.45395833  26.02569444      7.0    -17.0  IC3112                         184.45150000  26.03091667
 1963H                  230.58875000   5.39272222     -6.0      5.0  PGC054873                      230.59062500   5.39155556
 1963I                  183.19004167  10.85861111    -10.0    -22.0  NGC4178                        183.19295833  10.86600000
 1963J                  177.65958333  55.35041667     -5.0    -12.0  NGC3913                        177.66237500  55.35402778
 1963K                  170.91541667  53.83691667     11.0    -19.0  NGC3656                        170.91100000  53.84219444
 1963L                   41.97312500  37.53127778    -21.0    -27.0  UGC02259                        41.98091667  37.53833333
 1963M                  194.49045833  28.05955556     -2.0     -7.0  MCG+05-31-035                  194.49083333  28.06161111
 1963N                   21.58066667  34.70133333    -28.0     -7.0  NGC0536                         21.59091667  34.70288889
 1963O                  228.81687500  55.51475000    -60.0     -9.0  NGC5905                        228.84750000  55.51719444
 1963P                   41.50883333  -7.58069444     33.0     -8.0  NGC1084                         41.49962500  -7.57847222
 1963Q                  241.66816667  17.19244444     -8.0      3.0  IC1195                         241.67066667  17.19172222
 1963R                   39.06541667  35.95311111     -2.0     -1.0  PGC009887                       39.06641667  35.95344444
 1963S                   20.90858333   1.56211111      5.0     -5.0  PGC005092                       20.90737500   1.56397222
 1963T                   21.10208333  34.04425000     -0.0     -0.0  PGC005170                       21.10245833  34.04455556
 1963U                  148.32550000  36.08894444     -2.0      9.0  MCG+06-22-024                  148.32654167  36.08602778
 1963V                   38.63058333  -6.07861111     -6.0     -5.0  Anon.                           38.62500000  -6.08333333
 1963W                   37.75370833  43.97719444      8.0     -3.0  Anon.                           37.75000000  43.95000000
 1963X                   -9.00000000 -99.00000000  -9999.9  -9999.9  Anon.                          183.25000000  21.00000000
 1964A                  170.22562500  53.19450000    -74.0     92.0  NGC3631                        170.25991667  53.16894444
 1964B                   49.53975000  40.34822222    -22.0    -12.0  UGC02646                        49.54775000  40.35155556
 1964C                  241.52862500  17.45966667     -7.0     -5.0  Anon.                          241.52500000  17.45000000
 1964D                  195.16687500 -14.66730556     11.0     -4.0  NGC4887                        195.16375000 -14.66619444
 1964E                  179.75120833  52.69538889    -83.0    -44.0  UGC06983                       179.78929167  52.70761111
