# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2008ez      NGC5222                      0.359    -4.84     9.01    0.615    -0.56     0.76
2004P       UGC08561                     0.037    -0.21     0.23    0.070     0.58     0.10
1997cv      ESO383-031                   0.001     0.88     0.23    0.002     2.13     0.06
2000ca      ESO383-032                   0.047     0.11     0.13    0.063     0.35     0.04
1970P       NGC5230                      0.508     0.45     0.29    0.571     0.53     0.14
1923A       NGC5236                      0.324    -0.10     0.01    0.352     0.09     0.01
1945B       NGC5236                      0.697     1.69     0.05    0.714     2.23     0.03
1950B       NGC5236                      0.213     0.69     0.02    0.237     0.90     0.01
1957D       NGC5236                      0.356    -0.36     0.01    0.385     0.08     0.01
1968L       NGC5236                      0.051     0.42     0.00    0.028     0.74     0.00
1983N       NGC5236                      0.526    -1.44     0.01    0.554    -1.07     0.00
2004bk      NGC5246                      0.539     0.84     0.43    0.546     0.75     0.17
1895B       NGC5253                      0.735     2.29     0.05    0.629     2.12     0.01
1972E       NGC5253                      0.957     1.34     0.29    0.945     2.78     0.16
2010ee      UGC08652                     0.253    -0.28     0.40    0.254    -0.04     0.13
2005dv      NGC5283                      0.563     1.98     0.96    0.498     1.04     0.28
2012cf      PGC048432                    0.888     0.02     0.36    0.900    -0.15     0.13
1991D       PGC084044                    0.907     1.04     0.57    0.882     1.41     0.28
2001ai      NGC5278                      0.266    -0.91     0.16    0.235    -0.81     0.08
2003fd      UGC08670                     0.300    -0.28     0.12    0.345     0.13     0.07
2006dh      UGC08670                     0.121     0.46     0.18    0.157     0.40     0.07
2014bs      NGC5270                      0.470     0.71     0.41    0.466     0.82     0.21
1993ak      UGC08685                     0.772    -1.45     0.08    0.808    -1.01     0.04
2001bb      IC4319                       0.915    -0.72     0.17    0.900    -0.90     0.07
2010ao      UGC08686                     0.548     0.98     0.15    0.559     0.94     0.05
2004cb      ESO445-020                   0.850    -1.58     0.15    0.941    -1.25     0.07
2005G       UGC08690                     0.483     0.97     0.40    0.492     1.34     0.21
2005by      UGC08701                     0.840    -0.56     0.31    0.797     0.03     0.17
2009at      NGC5301                      0.324     0.44     0.12    0.342    -0.26     0.02
1996bk      NGC5308                      0.831    -3.08     0.56    0.468    -2.00     0.11
2012cp      UGC08713                     0.078     1.49     0.73    0.088     1.43     0.31
1985I       PGC049009                    1.000    -0.76     9.00    0.642     2.60     0.09
2013hn      IC4329                       1.000    -4.73     9.03    1.000    -4.22     9.01
2004bf      UGC08739                     0.586    -0.83     0.45    0.737    -0.45     0.24
2005al      NGC5304                      0.474    -1.41     9.00    0.391     1.24     0.06
2013dm      ESO445-056                   0.756     2.50     5.24    0.844     1.52     1.80
2009ep      NGC5329                      0.283     1.86     0.22    0.168     1.87     0.06
1993H       ESO445-066                   0.033    -4.84     9.05    0.082    -0.15     0.51
2003gm?     NGC5334                      0.276    -0.17     0.35    0.277     0.38     0.17
1996P       NGC5335                      1.000    -2.14     0.51    1.000    -1.77     0.28
2006E       NGC5338                      0.977    -0.79     9.00    0.455     0.96     9.00
1995R       UGC08801                     1.000    -3.00     1.27    1.000    -3.18     0.73
2013aj      NGC5339                      0.077    -0.42     0.44    0.094     0.57     0.24
2010B       NGC5370                      0.069     1.77     1.74    0.116     2.16     0.63
2011O       UGC08829                     0.290     0.27     0.43    0.278     0.39     0.11
1994Y       NGC5371                      0.039     1.27     0.55    0.075     0.63     0.06
1992H       NGC5377                      0.370    -3.74     9.00    0.461    -2.42     9.00
1991ak      NGC5378                      0.519     0.16     0.17    0.435    -0.03     0.06
1989K       NGC5375                      0.572     0.80     0.19    0.607     1.23     0.10
2005cc      NGC5383                      0.042     2.04     0.26    0.067     1.45     0.07
2003bl      NGC5374                      0.388     1.06     0.03    0.431     1.13     0.01
2010do      NGC5374                      0.482     0.12     0.02    0.517     0.39     0.01
2007cb      ESO510-031                   0.075     1.38     0.84    0.133     1.62     0.27
2000cr      NGC5395                      0.614    -1.39     0.05    1.000    -1.14     0.02
2008U       UGC08917                     0.066    -0.04     0.33    0.049     3.48     0.83
1977B       NGC5406                      0.881     0.27     0.40    0.891     0.62     0.23
2003bu      NGC5393                      0.133    -0.68     0.28    0.150    -0.32     0.13
2011ck      NGC5425                      0.947    -2.42     0.33    0.943    -2.01     0.04
2014as      NGC5410                      0.832     1.50     0.36    0.813     0.72     0.13
2008dw      UGC08932                     0.108     1.50     0.23    0.081     1.44     0.12
2012T       NGC5421                      0.073     0.51     0.43    0.073     1.31     0.11
1999bz      UGC08959                     0.210     0.20     0.43    0.231     1.02     0.28
2010gk      NGC5433                      0.036    -0.54     0.33    0.044     0.29     0.17
1985E       ESO510-048                   1.000    -4.89     9.28    0.276    -2.80     9.01
1998D       NGC5440                      0.742    -0.20     1.80    0.770    -0.39     0.77
1909A       NGC5457                      0.940     1.68     0.16    0.944     0.79     9.00
1951H       NGC5457                      0.511    -0.50     0.02    0.554     0.60     0.01
1970G       NGC5457                      0.559    -3.08     0.01    0.600    -2.00     0.00
2011fe      NGC5457                      0.374     0.47     0.02    0.417     1.43     0.01
1991B       NGC5426                      0.079     0.53     0.10    0.119     0.85     0.03
2009mz      NGC5426                      0.392     0.12     0.08    0.440     0.42     0.03
1976D       NGC5427                      0.840    -1.65     0.05    0.850    -1.26     0.02
2001U       NGC5442                      0.864    -1.00     0.44    0.833    -1.57     0.15
2011bz      NGC5442                      0.990    -2.93     0.93    0.981    -2.12     0.53
1999cp      NGC5468                      0.807     3.48     1.15    0.814     3.01     0.31
2002cr      NGC5468                      0.888     2.33     0.92    0.892     0.30     9.00
2002ed      NGC5468                      0.726     0.02     0.20    0.742     0.42     0.08
2005P       NGC5468                      0.327     2.02     0.42    0.358     2.03     0.13
1982W       NGC5485                      0.801    -2.72     9.00    0.789    -1.34     9.00
2004cm      NGC5486                      0.006     0.08     0.08    0.007     1.24     0.04
2005S       UGC09037                     0.118     0.30     0.07    0.125     0.74     0.03
2007cc      ESO578-026                   0.052     1.36     0.37    0.089     1.83     0.14
1997cn      NGC5490                      1.000    -0.12     0.83    0.089     0.98     0.36
2005I       IC0983                       0.171     1.90     1.12    0.214     1.39     0.27
2009nk      NGC5491                      0.517     0.35     0.13    0.536     0.65     0.06
1990M       NGC5493                      0.699    -1.48     0.44    0.503    -1.54     0.07
1955J       PGC050685                    0.198     0.68     0.08    0.203     0.89     0.04
2010bp      ESO221-032                   0.072     1.88     0.64    0.096     0.91     0.15
2013bb      NGC5504                      0.820     3.89     1.24    0.802     3.03     0.35
1971F       ESO446-033                   1.000    -5.63     9.04    1.000    -2.97     3.25
2007bf      UGC09121                     0.550     0.93     0.82    0.576     1.04     0.27
2009gf      NGC5525                      1.000    -5.34     9.02    0.646    -2.23     0.09
2006cb      NGC5541                      0.156     0.11     0.18    0.157     0.07     0.08
2007ao      NGC5532                      0.775     1.15     0.65    0.719    -0.93     9.00
2001bq      NGC5534                      0.843    -2.67     0.08    0.849    -2.26     0.05
1996aa      NGC5557                      0.329     0.91     0.08    0.158     0.81     0.04
2013gn      NGC5557                      0.940     1.07     1.43    0.897    -2.09     9.00
2004cu      NGC5550                      0.916     0.05     0.87    0.852    -0.17     0.28
2001co      NGC5559                      0.938    -2.84     0.08    0.931    -2.55     0.03
2014au      PGC051192                    0.001    -1.90     2.06    0.000    -8.16    14.58
2006ss      NGC5579                      0.447    -1.13     0.18    0.449    -0.88     0.06
1996ah      NGC5640                      1.000    -3.29     9.02    0.182     1.51     0.64
2006dy      NGC5587                      0.305     0.80     0.67    0.499     4.02     0.79
1996aq      NGC5584                      0.064     0.83     0.07    0.070     1.05     0.03
2007af      NGC5584                      0.478     1.70     0.09    0.491     1.56     0.04
2012ei      NGC5611                      0.502     1.11     1.39    0.547     0.99     0.02
