# SITEPH_GALEX PROFILE DATA - Sun Jan  4 09:46:00 2015
# SN        host                         FUVfrac   dFUV  dFUVerr    NUVfrac   dNUV  dNUVerr
2004I       NGC1072                      0.027     0.21     0.15    0.036     0.35     0.06
1962L       NGC1073                      0.385     1.73     0.10    0.407     1.66     0.05
2005mh      A024456+0012                -9.000    -0.44    10.27    0.125    -1.61     9.04
2013fc      ESO154-010                   0.014     1.68     0.64    0.042     1.50     0.14
2009I       NGC1080                      0.305     0.96     0.42    0.375     1.60     0.23
2012ew      PGC127935                    0.246     0.14     0.19    0.313     0.29     0.09
1963P       NGC1084                      0.536     2.15     0.08    0.578     2.52     0.04
1996an      NGC1084                      0.733    -1.32     0.03    0.765    -1.15     0.01
1998dl      NGC1084                      0.588     0.83     0.05    0.628     0.75     0.02
2009H       NGC1084                      0.722     0.54     0.06    0.754     0.63     0.03
2012ec      NGC1084                      0.366     0.20     0.03    0.412     0.43     0.01
1992bd      NGC1097                      0.026    -0.05     0.02    0.043     0.22     0.01
1999eu      NGC1097                      0.595     0.34     0.12    0.665     0.43     0.06
2003B       NGC1097                      0.710    -1.16     0.06    0.768    -0.88     0.04
1995V       NGC1087                      0.360     0.49     0.04    0.388     0.50     0.02
2003hk      NGC1085                      0.067     0.22     0.32    0.106     0.60     0.14
1962K       NGC1090                      0.921    -2.17     0.09    0.931    -1.85     0.05
1971T       NGC1090                      0.297     0.41     0.09    0.348     0.75     0.05
2006lg      UGC02243                     0.297     1.16     0.95    0.256     0.21     0.26
2009ie      NGC1093                      0.998     0.20     0.66    0.998    -0.53     0.26
2006ab      PGC010652                    0.569    -5.47    16.62   -9.000     7.01     9.00
2003hm      UGC02295                     0.001    -0.96     1.34    0.006     0.44     0.37
2010he      NGC1120                      1.000    -7.96     9.29    1.000    -2.42     1.65
2006eh      UGC02308                     0.106     4.01     3.33    0.128     1.57     0.47
2009iq      UGC02308                     0.356     1.36     1.40    0.379     0.61     0.46
2005fu      A025032+0048                 0.303     6.14     0.55    0.226     5.25     0.15
2005jt      A025040-0003                 0.261     6.34     9.09    0.285     7.28     9.03
2008ey      IC0262                       0.088    -5.04     9.12    0.475    -3.71     9.02
2000dp      NGC1139                      0.936     0.26     0.36    0.944     0.65     0.22
2010lp      NGC1137                      0.468     0.35     0.47    0.535     0.98     0.29
2007ke      NGC1129                      1.000    -6.43     9.19    0.228    -4.03     9.01
2006os      UGC02384                     0.734    -0.22     1.12    0.623     0.36     0.47
2012fx      ESO417-003                   0.029    -0.75     0.34    0.039    -0.66     0.15
2004go      IC0270                       1.000    -4.56     9.01    1.000    -6.64     9.45
2005et      UGC02413                     0.000    -5.39    22.70    1.000     1.68     3.81
1994ah      ESO356-019                   0.148    -0.58     0.23    0.166     0.07     0.13
1981I       ESO356-020                   0.344     0.62     0.21    0.363     0.98     0.12
2006av      ESO356-022                   0.708     0.35     0.13    0.736     0.14     0.06
2011jp      NGC1154                      0.058     0.31     0.04    0.069     0.44     0.02
2005aj      UGC02411                     0.102    -4.69     9.13    0.290    -3.47     9.03
2003ht      UGC02457                     0.042    -1.20     0.56    0.063     0.65     0.27
2001dw      NGC1168                      0.506     0.39     0.92    0.519     0.42     0.40
2005gj      A030111-0033                 0.067     5.15     0.29    0.028     3.82     0.18
