# XSC_SNAN run on Thu Aug  7 12:53:34 2008
# SN          mJ   mJerr   mJ.5  mJerr    mJ1  mJerr    mJ2  mJerr   sbJ   Jfrac  Jdelp Jdelpe    mH   mHerr   mH.5  mHerr    mH1  mHerr    mH2  mHerr   sbH   Hfrac  Hdelp Hdelpe    mK   mKerr   mK.5  mKerr    mK1  mKerr    mK2  mKerr   sbK   Kfrac  Kdelp Kdelpe  host                 snx      sny
2004gd      14.15   0.05  17.11   0.18  15.61   0.09  14.11   0.05  17.63 -9.000 -99.00  -9.00  13.41   0.04  16.37   0.17  14.87   0.09  13.37   0.04  16.89 -9.000 -99.00  -9.00  12.98   0.04  15.94   0.16  14.44   0.08  12.94   0.04  16.46 -9.000 -99.00  -9.00  NGC2341             42.6     40.4
2004ge      14.84   0.07  17.63   0.24  16.13   0.12  14.62   0.06  18.32 -9.000 -99.00  -9.00  14.14   0.05  16.93   0.19  15.42   0.10  13.92   0.05  17.62 -9.000 -99.00  -9.00  13.79   0.06  16.57   0.22  15.07   0.11  13.57   0.05  17.27 -9.000 -99.00  -9.00  UGC3555             63.0     67.2
2004gf      18.41   0.34  20.79   1.01  19.27   0.50  17.75   0.25  21.89 -9.000 -99.00  -9.00  21.45   1.79  23.94   5.62  22.53   2.94  20.38   1.09  24.93 -9.000 -99.00  -9.00  17.77   0.37  20.27   1.18  18.70   0.57  17.03   0.26  21.25 -9.000 -99.00  -9.00  UGC11864            78.3     87.6
2004gi      17.97   0.29  20.01   0.75  18.54   0.38  17.15   0.20  21.45 -9.000 -99.00  -9.00  17.23   0.25  19.28   0.64  17.81   0.33  16.39   0.17  20.71 -9.000 -99.00  -9.00  17.92   0.43  20.37   1.34  18.65   0.61  16.73   0.25  21.40 -9.000 -99.00  -9.00  M-05-25-32          62.8     45.9
2004gq      15.73   0.10  15.17   0.08  13.67   0.04  12.24   0.02  19.21 -9.000 -99.00  -9.00  15.02   0.09  14.46   0.07  13.00   0.04  11.61   0.02  18.50 -9.000 -99.00  -9.00  15.00   0.11  14.42   0.09  12.84   0.04  11.37   0.02  18.48 -9.000 -99.00  -9.00  NGC1832             83.7    126.8
2004gt      15.41   0.09  14.79   0.07  13.31   0.03  11.89   0.02  18.89 -9.000 -99.00  -9.00  14.80   0.08  14.18   0.06  12.70   0.03  11.26   0.02  18.28 -9.000 -99.00  -9.00  14.54   0.09  13.93   0.07  12.46   0.03  11.00   0.02  18.02 -9.000 -99.00  -9.00  NGC4038            188.4    141.6
2004gv      16.76   0.16  19.89   0.68  18.38   0.34  16.85   0.17  20.24 -9.000 -99.00  -9.00  16.10   0.15  19.17   0.61  17.68   0.31  16.18   0.15  19.58 -9.000 -99.00  -9.00  15.85   0.17  18.96   0.71  17.46   0.35  15.93   0.17  19.32 -9.000 -99.00  -9.00  NGC856              65.7     48.5
2004gw      17.60   0.23  20.47   0.86  18.96   0.43  17.43   0.21  21.08 -9.000 -99.00  -9.00  16.54   0.16  19.34   0.58  17.83   0.29  16.37   0.15  20.01 -9.000 -99.00  -9.00  16.71   0.23  19.72   0.93  18.16   0.45  16.50   0.21  20.19 -9.000 -99.00  -9.00  PGC0016812          24.2     26.8
2004ip      12.76   0.03  15.65   0.10  14.17   0.05  12.77   0.03  16.24 -9.000 -99.00  -9.00  11.71   0.02  14.59   0.07  13.12   0.04  11.73   0.02  15.19 -9.000 -99.00  -9.00  11.13   0.02  14.01   0.07  12.54   0.04  11.15   0.02  14.61 -9.000 -99.00  -9.00  IRA18293-3413       43.0     44.8
2005A       14.06   0.05  17.13   0.19  15.60   0.10  14.06   0.05  17.54 -9.000 -99.00  -9.00  13.19   0.04  16.25   0.16  14.72   0.08  13.19   0.04  16.67 -9.000 -99.00  -9.00  12.80   0.04  15.85   0.17  14.32   0.08  12.80   0.04  16.27 -9.000 -99.00  -9.00  NGC958              96.8    103.6
2005E      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC1032            -99.0    103.6
2005H       13.50   0.03  15.60   0.09  14.10   0.05  12.64   0.02  16.98 -9.000 -99.00  -9.00  12.78   0.03  14.88   0.08  13.38   0.04  11.91   0.02  16.26 -9.000 -99.00  -9.00  12.37   0.03  14.47   0.09  12.97   0.04  11.49   0.02  15.85 -9.000 -99.00  -9.00  NGC838              48.2     51.0
2005N      -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  17.79   0.32  20.46   1.10  19.01   0.56  17.69   0.31  21.27 -9.000 -99.00  -9.00  17.22   0.31  19.93   1.09  18.48   0.56  17.11   0.30  20.70 -9.000 -99.00  -9.00  NGC5420             42.7     34.0
2005O       14.51   0.06  17.69   0.26  16.18   0.13  14.67   0.06  17.99 -9.000 -99.00  -9.00  13.79   0.05  16.96   0.22  15.45   0.11  13.95   0.06  17.27 -9.000 -99.00  -9.00  13.49   0.06  16.65   0.25  15.15   0.12  13.65   0.06  16.97 -9.000 -99.00  -9.00  NGC3340             55.9     56.3
2005S       15.77   0.11  19.03   0.48  17.52   0.24  16.02   0.12  19.25 -9.000 -99.00  -9.00  15.15   0.10  18.43   0.44  16.92   0.22  15.41   0.11  18.63 -9.000 -99.00  -9.00  14.65   0.10  17.89   0.44  16.39   0.22  14.90   0.11  18.13 -9.000 -99.00  -9.00  UGC9037             58.0     52.4
2005W       17.01   0.18  18.24   0.31  16.73   0.15  15.20   0.08  20.48 -9.000 -99.00  -9.00  16.19   0.14  17.42   0.24  15.91   0.12  14.44   0.06  19.67 -9.000 -99.00  -9.00  16.03   0.17  17.25   0.30  15.76   0.15  14.29   0.08  19.51 -9.000 -99.00  -9.00  NGC691              82.9    139.0
2005Y       16.54   0.14  19.16   0.48  17.66   0.24  16.19   0.12  20.01 -9.000 -99.00  -9.00  15.95   0.13  18.59   0.46  17.09   0.23  15.60   0.11  19.43 -9.000 -99.00  -9.00  15.76   0.16  18.41   0.53  16.90   0.27  15.40   0.13  19.24 -9.000 -99.00  -9.00  UGC1159             29.4     36.5
2005Z       14.80   0.06  18.06   0.28  16.54   0.14  15.02   0.07  18.27 -9.000 -99.00  -9.00  14.04   0.05  17.29   0.23  15.78   0.11  14.26   0.06  17.52 -9.000 -99.00  -9.00  13.72   0.06  16.99   0.26  15.47   0.13  13.94   0.06  17.20 -9.000 -99.00  -9.00  NGC3363             58.5     50.8
2005ad      19.14   0.49  19.16   0.50  17.72   0.26  16.23   0.13  22.62 -9.000 -99.00  -9.00  17.94   0.35  17.96   0.35  16.46   0.18  15.38   0.11  21.42 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00  17.25   0.32  15.38   0.14 -99.00 -9.000 -99.00  -9.00  NGC941              52.0    121.6
2005am      15.37   0.09  16.86   0.18  15.35   0.09  13.84   0.04  18.85 -9.000 -99.00  -9.00  14.66   0.08  16.14   0.15  14.64   0.08  13.14   0.04  18.13 -9.000 -99.00  -9.00  14.37   0.09  15.86   0.17  14.35   0.08  12.84   0.04  17.85 -9.000 -99.00  -9.00  NGC2811            123.3    172.8
2005aq      16.98   0.18  19.33   0.53  17.82   0.27  16.29   0.13  20.46 -9.000 -99.00  -9.00  16.83   0.21  19.19   0.62  17.67   0.31  16.12   0.15  20.30 -9.000 -99.00  -9.00  16.74   0.25  19.06   0.74  17.56   0.37  16.05   0.19  20.22 -9.000 -99.00  -9.00  NGC1599             30.7     43.2
2005as      13.82   0.04  16.30   0.14  14.81   0.07  13.38   0.04  17.30 -9.000 -99.00  -9.00  13.09   0.04  15.56   0.12  14.07   0.06  12.66   0.03  16.57 -9.000 -99.00  -9.00  12.77   0.04  15.24   0.13  13.75   0.06  12.34   0.03  16.25 -9.000 -99.00  -9.00  NGC3450            152.4    151.2
2005au      16.19   0.12  19.29   0.48  17.79   0.24  16.32   0.12  19.67 -9.000 -99.00  -9.00  15.12   0.08  18.25   0.35  16.75   0.17  15.25   0.09  18.60 -9.000 -99.00  -9.00  15.04   0.11  18.15   0.44  16.65   0.22  15.16   0.11  18.52 -9.000 -99.00  -9.00  NGC5056            112.4     94.3
2005av      15.38   0.08  16.34   0.13  14.83   0.07  13.32   0.03  18.85 -9.000 -99.00  -9.00  14.75   0.08  15.71   0.12  14.21   0.06  12.71   0.03  18.23 -9.000 -99.00  -9.00  14.41   0.08  15.37   0.13  13.86   0.07  12.35   0.03  17.88 -9.000 -99.00  -9.00  NGC6943            120.1    122.4
2005az      15.72   0.10  17.27   0.20  15.79   0.10  14.35   0.05  19.20 -9.000 -99.00  -9.00  15.07   0.10  16.64   0.20  15.14   0.10  13.67   0.05  18.55 -9.000 -99.00  -9.00  14.80   0.10  16.37   0.20  14.87   0.10  13.40   0.05  18.28 -9.000 -99.00  -9.00  NGC4961             65.0     62.6
2005bc      15.49   0.09  17.74   0.25  16.24   0.13  14.71   0.06  18.97 -9.000 -99.00  -9.00  14.84   0.07  17.09   0.21  15.59   0.10  14.06   0.05  18.32 -9.000 -99.00  -9.00  14.58   0.09  16.85   0.25  15.33   0.12  13.79   0.06  18.06 -9.000 -99.00  -9.00  NGC5698             61.3     74.0
2005bo      15.83   0.11  18.43   0.38  16.92   0.19  15.40   0.09  19.31 -9.000 -99.00  -9.00  15.17   0.10  17.78   0.33  16.26   0.16  14.74   0.08  18.65 -9.000 -99.00  -9.00  14.93   0.11  17.56   0.38  16.04   0.19  14.49   0.09  18.41 -9.000 -99.00  -9.00  NGC4708             93.7     74.8
2005bq      14.92   0.07  17.44   0.22  15.93   0.11  14.39   0.05  18.39 -9.000 -99.00  -9.00  14.19   0.06  16.72   0.19  15.20   0.10  13.66   0.05  17.66 -9.000 -99.00  -9.00  13.86   0.07  16.39   0.21  14.88   0.11  13.34   0.05  17.34 -9.000 -99.00  -9.00  IC4367              68.4     81.8
2005br      15.31   0.08  17.76   0.25  16.25   0.13  14.74   0.06  18.78 -9.000 -99.00  -9.00  14.52   0.07  16.98   0.22  15.46   0.11  13.95   0.05  18.00 -9.000 -99.00  -9.00  14.24   0.08  16.70   0.24  15.18   0.12  13.68   0.06  17.72 -9.000 -99.00  -9.00  IC5084             122.9    129.3
2005cf     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  M-01-39-03         -99.0    129.3
2005ci      16.49   0.13  17.71   0.24  16.22   0.12  14.79   0.06  19.97 -9.000 -99.00  -9.00  15.94   0.14  17.16   0.24  15.68   0.12  14.22   0.06  19.42 -9.000 -99.00  -9.00  15.47   0.13  16.68   0.22  15.21   0.11  13.82   0.06  18.95 -9.000 -99.00  -9.00  NGC5682             60.3     66.5
2005cn     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC5061            205.5    244.9
2005ct      14.74   0.06  16.82   0.16  15.35   0.08  13.95   0.04  18.22 -9.000 -99.00  -9.00  14.02   0.06  16.10   0.15  14.63   0.07  13.23   0.04  17.50 -9.000 -99.00  -9.00  13.70   0.06  15.79   0.16  14.31   0.08  12.92   0.04  17.18 -9.000 -99.00  -9.00  NGC207              40.6     34.9
2005cu      14.73   0.06  16.36   0.14  14.87   0.07  13.43   0.04  18.21 -9.000 -99.00  -9.00  14.00   0.06  15.63   0.12  14.15   0.06  12.69   0.03  17.48 -9.000 -99.00  -9.00  13.69   0.06  15.31   0.13  13.83   0.07  12.40   0.03  17.17 -9.000 -99.00  -9.00  NGC6754            130.4    120.7
2005cx      14.59   0.06  17.22   0.19  15.72   0.10  14.22   0.05  18.07 -9.000 -99.00  -9.00  13.89   0.05  16.53   0.16  15.02   0.08  13.51   0.04  17.37 -9.000 -99.00  -9.00  13.59   0.05  16.21   0.18  14.71   0.09  13.21   0.05  17.06 -9.000 -99.00  -9.00  IC178               50.1     54.8
2005db      15.51   0.09  17.95   0.26  16.44   0.13  14.94   0.07  18.99 -9.000 -99.00  -9.00  14.84   0.07  17.26   0.22  15.76   0.11  14.28   0.06  18.32 -9.000 -99.00  -9.00  14.44   0.08  16.88   0.25  15.37   0.13  13.88   0.06  17.92 -9.000 -99.00  -9.00  NGC214              90.6     68.0
2005df      17.24   0.20  16.60   0.15  15.11   0.08  13.64   0.04  20.72 -9.000 -99.00  -9.00  16.86   0.21  16.27   0.16  14.89   0.09  13.30   0.04  20.33 -9.000 -99.00  -9.00  19.19   0.79  17.69   0.40  14.82   0.11  12.98   0.05  22.67 -9.000 -99.00  -9.00  NGC1559            136.8    202.8
2005dg      15.59   0.10  17.98   0.30  16.47   0.15  14.92   0.07  19.07 -9.000 -99.00  -9.00  14.90   0.09  17.28   0.26  15.77   0.13  14.24   0.06  18.38 -9.000 -99.00  -9.00  14.65   0.10  17.03   0.29  15.52   0.15  14.00   0.07  18.13 -9.000 -99.00  -9.00  E420-G03            45.3     55.7
2005dk      17.12   0.19  19.83   0.65  18.31   0.32  16.79   0.16  20.60 -9.000 -99.00  -9.00  16.27   0.16  18.97   0.55  17.46   0.27  15.95   0.14  19.75 -9.000 -99.00  -9.00  15.77   0.16  18.45   0.54  16.95   0.27  15.45   0.14  19.25 -9.000 -99.00  -9.00  IC4882              39.8     26.7
2005dl      15.51   0.09  16.70   0.16  15.23   0.08  13.84   0.04  18.99 -9.000 -99.00  -9.00  14.79   0.08  15.99   0.15  14.52   0.07  13.12   0.04  18.27 -9.000 -99.00  -9.00  14.53   0.09  15.73   0.15  14.26   0.08  12.84   0.04  18.01 -9.000 -99.00  -9.00  NGC2276             95.1    113.2
2005dy      15.31   0.08  17.01   0.18  15.51   0.09  14.03   0.04  18.78 -9.000 -99.00  -9.00  14.52   0.07  16.21   0.16  14.72   0.08  13.27   0.04  17.99 -9.000 -99.00  -9.00  14.20   0.07  15.90   0.16  14.40   0.08  12.94   0.04  17.68 -9.000 -99.00  -9.00  UGC3042            113.8    108.1
2005dz      18.48   0.35  21.27   1.26  19.80   0.64  18.43   0.34  21.96 -9.000 -99.00  -9.00  17.15   0.23  20.01   0.87  18.53   0.44  17.09   0.23  20.62 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  UGC12717            24.3     64.0
2005eb      14.80   0.07  17.25   0.21  15.77   0.10  14.31   0.05  18.28 -9.000 -99.00  -9.00  13.93   0.05  16.39   0.15  14.90   0.08  13.44   0.04  17.41 -9.000 -99.00  -9.00  13.47   0.05  15.93   0.16  14.44   0.08  12.97   0.04  16.95 -9.000 -99.00  -9.00  UGC556              35.4     42.6
2005el      18.10   0.32  20.62   1.03  19.13   0.52  17.68   0.27  21.58 -9.000 -99.00  -9.00  17.06   0.23  19.64   0.77  18.13   0.38  16.63   0.19  20.54 -9.000 -99.00  -9.00  16.51   0.23  19.00   0.72  17.53   0.37  16.10   0.19  19.99 -9.000 -99.00  -9.00  NGC1819             42.6     58.2
2005gl      16.52   0.14  19.02   0.44  17.52   0.22  16.04   0.11  20.00 -9.000 -99.00  -9.00  15.78   0.11  18.28   0.36  16.78   0.18  15.29   0.09  19.26 -9.000 -99.00  -9.00  15.63   0.14  18.14   0.45  16.64   0.22  15.13   0.11  19.11 -9.000 -99.00  -9.00  NGC266             108.8    154.0
2005hk      18.66   0.39  21.06   1.19  19.37   0.54  17.47   0.23  22.14 -9.000 -99.00  -9.00  18.20   0.38  20.39   1.05  18.82   0.51  17.15   0.24  21.68 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  UGC272              23.3     48.0
2005io      18.72   0.39  20.76   1.00  19.19   0.49  17.49   0.22  22.20 -9.000 -99.00  -9.00  18.72   0.44  20.65   1.06  19.16   0.53  17.58   0.26  22.20 -9.000 -99.00  -9.00  17.70   0.37  19.67   0.91  18.15   0.45  16.55   0.22  21.18 -9.000 -99.00  -9.00  UGC3361             59.1     71.5
2005ip      15.71   0.11  17.00   0.19  15.49   0.10  13.94   0.05  19.19 -9.000 -99.00  -9.00  14.97   0.09  16.27   0.16  14.76   0.08  13.21   0.04  18.45 -9.000 -99.00  -9.00  14.77   0.10  16.09   0.19  14.55   0.09  12.96   0.05  18.25 -9.000 -99.00  -9.00  NGC2906             93.4    109.5
2005kc      14.71   0.06  17.20   0.20  15.67   0.10  14.05   0.05  18.18 -9.000 -99.00  -9.00  13.96   0.05  16.45   0.17  14.93   0.08  13.31   0.04  17.44 -9.000 -99.00  -9.00  13.64   0.06  16.13   0.19  14.60   0.09  12.99   0.04  17.12 -9.000 -99.00  -9.00  NGC7311             75.3     77.2
2005ke     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  NGC1371            109.8    112.0
2005kh      19.12   0.48  20.54   0.93  19.13   0.48  17.80   0.26  22.59 -9.000 -99.00  -9.00  18.11   0.33  19.60   0.66  18.12   0.33  16.75   0.18  21.59 -9.000 -99.00  -9.00  17.91   0.41  19.37   0.80  17.92   0.41  16.55   0.22  21.39 -9.000 -99.00  -9.00  NGC3094             70.2     99.9
2005kk      17.10   0.19  20.12   0.76  18.62   0.38  17.09   0.19  20.58 -9.000 -99.00  -9.00  16.42   0.15  19.45   0.62  17.94   0.31  16.41   0.15  19.90 -9.000 -99.00  -9.00  16.01   0.17  19.04   0.69  17.53   0.34  16.00   0.17  19.49 -9.000 -99.00  -9.00  NGC3323             29.5     46.7
2005kl      14.31   0.05  14.21   0.05  12.66   0.02  11.23   0.01  17.79 -9.000 -99.00  -9.00  13.62   0.04  13.52   0.04  11.97   0.02  10.55   0.01  17.10 -9.000 -99.00  -9.00  13.35   0.05  13.25   0.05  11.71   0.02  10.30   0.01  16.83 -9.000 -99.00  -9.00  NGC4369             95.1     93.8
2005lr      16.08   0.12  17.66   0.25  16.13   0.13  14.55   0.06  19.56 -9.000 -99.00  -9.00  15.23   0.10  16.78   0.21  15.27   0.10  13.76   0.05  18.71 -9.000 -99.00  -9.00  15.03   0.12  16.60   0.24  15.07   0.12  13.50   0.06  18.51 -9.000 -99.00  -9.00  E492-G02            88.6     68.2
2005lx      18.35   0.33  21.19   1.23  19.65   0.60  18.06   0.29  21.83 -9.000 -99.00  -9.00  17.39   0.24  20.23   0.89  18.69   0.44  17.10   0.21  20.87 -9.000 -99.00  -9.00  17.59   0.35  20.31   1.23  18.81   0.62  17.32   0.31  21.07 -9.000 -99.00  -9.00  IC221              113.1     69.8
2005ma      16.45   0.14  19.02   0.45  17.51   0.23  16.00   0.11  19.93 -9.000 -99.00  -9.00  15.89   0.13  18.42   0.43  16.92   0.22  15.45   0.11  19.37 -9.000 -99.00  -9.00  15.79   0.16  18.36   0.54  16.85   0.27  15.33   0.13  19.27 -9.000 -99.00  -9.00  M-02-13-13          46.4     37.1
2005my     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  E302-G27           -99.0     37.1
2006D       17.00   0.19  18.73   0.43  17.14   0.21  15.40   0.09  20.47 -9.000 -99.00  -9.00  16.20   0.16  17.86   0.34  16.33   0.17  14.72   0.08  19.67 -9.000 -99.00  -9.00  16.45   0.23  18.19   0.50  16.60   0.24  14.78   0.11  19.93 -9.000 -99.00  -9.00  M-01-33-34          48.4     42.6
2006E       17.22   0.21  16.43   0.15  15.00   0.08  13.53   0.04  20.70 -9.000 -99.00  -9.00  16.44   0.17  15.70   0.12  14.32   0.07  12.93   0.03  19.92 -9.000 -99.00  -9.00  16.59   0.24  15.71   0.16  14.06   0.07  12.84   0.04  20.07 -9.000 -99.00  -9.00  NGC5338             38.3     64.8
2006F       15.63   0.10  17.34   0.21  15.85   0.11  14.39   0.05  19.11 -9.000 -99.00  -9.00  14.92   0.08  16.63   0.17  15.14   0.09  13.70   0.04  18.40 -9.000 -99.00  -9.00  14.68   0.09  16.39   0.20  14.90   0.10  13.44   0.05  18.16 -9.000 -99.00  -9.00  NGC935             105.2    124.7
2006M       16.60   0.14  19.33   0.50  17.83   0.25  16.35   0.13  20.08 -9.000 -99.00  -9.00  15.86   0.12  18.57   0.41  17.08   0.21  15.62   0.11  19.34 -9.000 -99.00  -9.00  15.59   0.14  18.30   0.49  16.80   0.25  15.35   0.13  19.07 -9.000 -99.00  -9.00  PGC0047137          24.5     27.0
2006N       13.76   0.04  16.21   0.12  14.71   0.06  13.25   0.03  17.24 -9.000 -99.00  -9.00  13.02   0.03  15.46   0.10  13.97   0.05  12.51   0.02  16.50 -9.000 -99.00  -9.00  12.72   0.04  15.16   0.11  13.67   0.06  12.21   0.03  16.20 -9.000 -99.00  -9.00  M+11-08-12          39.6     44.6
2006P       15.54   0.10  18.08   0.31  16.58   0.15  15.10   0.08  19.02 -9.000 -99.00  -9.00  14.94   0.09  17.49   0.28  15.98   0.14  14.50   0.07  18.42 -9.000 -99.00  -9.00  14.67   0.10  17.21   0.32  15.71   0.16  14.23   0.08  18.15 -9.000 -99.00  -9.00  M-02-09-29          61.2     55.7
2006T       15.38   0.09  16.73   0.16  15.24   0.08  13.77   0.04  18.86 -9.000 -99.00  -9.00  14.74   0.08  16.09   0.15  14.60   0.07  13.11   0.04  18.21 -9.000 -99.00  -9.00  14.33   0.08  15.66   0.15  14.19   0.08  12.78   0.04  17.80 -9.000 -99.00  -9.00  NGC3054            129.3    134.1
2006V       18.97   0.47  21.60   1.59  20.14   0.81  18.85   0.45  22.45 -9.000 -99.00  -9.00  18.74   0.51  21.28   1.64  19.85   0.85  18.64   0.48  22.22 -9.000 -99.00  -9.00  17.84   0.43  20.90   1.75  19.33   0.85  17.67   0.39  21.32 -9.000 -99.00  -9.00  UGC6510            107.2    117.2
2006au      17.40   0.22  18.97   0.45  17.46   0.22  15.91   0.11  20.88 -9.000 -99.00  -9.00  16.46   0.18  17.98   0.37  16.51   0.19  15.10   0.10  19.94 -9.000 -99.00  -9.00  16.07   0.17  17.61   0.35  16.12   0.18  14.64   0.09  19.55 -9.000 -99.00  -9.00  UGC11057           119.1    115.9
2006aw      15.29   0.08  18.06   0.30  16.55   0.15  15.04   0.08  18.77 -9.000 -99.00  -9.00  14.59   0.07  17.36   0.27  15.86   0.13  14.34   0.07  18.07 -9.000 -99.00  -9.00  14.33   0.08  17.09   0.30  15.59   0.15  14.08   0.08  17.81 -9.000 -99.00  -9.00  E085-G38            82.8     74.2
2006ax      18.88   0.43  21.80   1.65  20.29   0.82  18.84   0.42  22.36 -9.000 -99.00  -9.00  18.43   0.43  21.51   1.77  19.99   0.88  18.38   0.42  21.91 -9.000 -99.00  -9.00  20.19   1.23  22.48   3.52  21.13   1.89  20.18   1.22  23.67 -9.000 -99.00  -9.00  NGC3663             35.8    105.9
2006ba      16.65   0.16  19.86   0.70  18.35   0.35  16.85   0.18  20.13 -9.000 -99.00  -9.00  16.20   0.16  19.42   0.69  17.91   0.35  16.41   0.17  19.68 -9.000 -99.00  -9.00  15.94   0.18  19.24   0.81  17.72   0.40  16.16   0.20  19.42 -9.000 -99.00  -9.00  NGC2980             63.7     76.6
2006bc      14.61   0.06  14.80   0.07  13.31   0.03  11.89   0.02  18.09 -9.000 -99.00  -9.00  13.96   0.05  14.15   0.06  12.66   0.03  11.23   0.02  17.44 -9.000 -99.00  -9.00  13.59   0.06  13.78   0.06  12.30   0.03  10.87   0.02  17.07 -9.000 -99.00  -9.00  NGC2397            127.8    117.2
2006bh      17.72   0.26  19.37   0.55  17.90   0.28  16.49   0.15  21.20 -9.000 -99.00  -9.00  17.89   0.33  19.70   0.76  18.11   0.37  16.24   0.16  21.37 -9.000 -99.00  -9.00  18.53   0.57  20.04   1.13  18.69   0.61  17.26   0.32  22.01 -9.000 -99.00  -9.00  NGC7329            173.9    102.5
2006bn      20.47   0.87  23.09   2.91  21.72   1.55  20.46   0.87  23.95 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  17.56   0.37  20.68   1.55  19.17   0.78  17.54   0.37  21.04 -9.000 -99.00  -9.00  IC4926              18.5     85.8
2006bv      17.79   0.26  20.21   0.78  18.72   0.39  17.24   0.20  21.27 -9.000 -99.00  -9.00  17.45   0.25  19.82   0.74  18.34   0.38  16.95   0.20  20.93 -9.000 -99.00  -9.00  16.27   0.20  18.64   0.58  17.16   0.29  15.77   0.15  19.75 -9.000 -99.00  -9.00  UGC7848             51.5     79.3
2006bx     -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00  -9.00 -99.00 -9.000 -99.00  -9.00  UGC5434            -99.0     79.3
2006ca      17.12   0.18  18.40   0.33  17.00   0.17  15.75   0.10  20.60 -9.000 -99.00  -9.00  16.99   0.23  18.34   0.43  16.86   0.22  15.45   0.11  20.47 -9.000 -99.00  -9.00  16.21   0.18  17.54   0.34  16.08   0.17  14.73   0.09  19.69 -9.000 -99.00  -9.00  UGC11214            58.1     88.9
2006ch      15.62   0.10  18.36   0.34  16.85   0.17  15.34   0.08  19.10 -9.000 -99.00  -9.00  14.96   0.08  17.70   0.28  16.20   0.14  14.69   0.07  18.44 -9.000 -99.00  -9.00  14.56   0.09  17.28   0.30  15.79   0.15  14.29   0.08  18.04 -9.000 -99.00  -9.00  NGC7753            125.2    132.4
2006ci      17.04   0.18  19.13   0.47  17.61   0.23  16.05   0.11  20.51 -9.000 -99.00  -9.00  16.21   0.15  18.32   0.40  16.79   0.20  15.20   0.10  19.68 -9.000 -99.00  -9.00  15.70   0.15  17.73   0.39  16.25   0.20  14.81   0.10  19.18 -9.000 -99.00  -9.00  E182-G10            90.8     67.9
2006co      16.15   0.12  18.41   0.34  16.90   0.17  15.35   0.08  19.63 -9.000 -99.00  -9.00  15.40   0.11  17.66   0.30  16.14   0.15  14.60   0.07  18.88 -9.000 -99.00  -9.00  15.57   0.15  17.94   0.43  16.37   0.21  14.68   0.10  19.05 -9.000 -99.00  -9.00  E323-G25            50.7     65.9
2006cx      14.33   0.06  17.11   0.20  15.63   0.10  14.22   0.05  17.80 -9.000 -99.00  -9.00  13.65   0.04  16.44   0.16  14.96   0.08  13.54   0.04  17.13 -9.000 -99.00  -9.00  13.32   0.05  16.11   0.18  14.63   0.09  13.21   0.05  16.80 -9.000 -99.00  -9.00  NGC7316             48.3     47.0
