# SITEPH_SDSS PROFILE DATA - Sat Jan  3 17:06:29 2015
# SN        host                         uFrac       du    duerr    gFrac       dg    dgerr    rFrac       dr    drerr    iFrac       di    dierr    zFrac       dz    dzerr
2001hl      A022826+0036                -9.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00   -9.000   -99.00    -9.00
2005ad      NGC0941                      0.833   -99.00    -9.00    0.816   -99.00    -9.00    0.818   -99.00    -9.00    0.816   -99.00    -9.00    0.839     1.85    12.28
2001hm      A022832+0030                 0.002   -99.00    -9.00    0.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2001hn      A022900+0043                 0.152   -99.00    -9.00    0.007   -99.00    -9.00    0.000   -99.00    -9.00    1.000   -99.00    -9.00    0.000   -99.00    -9.00
2002P       A022905+0047                 0.000    -2.07     7.23   -9.000   -40.44     8.55    0.000    -2.38     6.67    1.000   -33.01    10.45    0.215   -71.83   134.45
2001ji      A022912+0051                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.030   -99.00    -9.00
2002Q       A022922+0020                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.481   -99.00    -9.00    1.000   -99.00    -9.00
2002R       A022927+0051                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2006ru      A022950+2305                 0.002   -99.00    -9.00    0.002   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00    0.001   -99.00    -9.00
2001ek      A023017+0103                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
1963W       A023100+4358                 0.624     2.41    12.28    0.580     1.46     4.64    0.571     1.24     3.28    0.564     1.32     2.98    0.586     1.29     2.68
1985R       IC1809                       0.695    -0.72     8.69    0.743    -0.06     7.09    0.785     0.00     5.49    0.778     0.18     5.01    0.832    -0.05     4.34
2002gu      A023148-0109                 0.529     1.70    12.28    0.568     1.16     5.01    0.587     0.65     2.90    0.583     0.66     2.46    0.601     0.61     2.17
2009hn      UGC02005                     0.223     1.06    12.28    0.462     1.28    12.28    0.488     1.25     8.69    0.489     0.68     5.49    0.399     0.49     3.70
2005gv      A023354+0016                 0.505   -99.00    -9.00    0.590   -99.00    -9.00    0.476   -99.00    -9.00    0.881   -99.00    -9.00    1.000   -99.00    -9.00
1999dq      NGC0976                      0.193   -99.00    -9.00    0.240     1.50     2.28    0.273     2.12     2.08    0.290   -99.00    -9.00    0.321   -99.00    -9.00
1963V       A023431-0604                 0.711   -99.00    -9.00    0.781   -99.00    -9.00    0.759   -99.00    -9.00    0.734   -99.00    -9.00    0.707   -99.00    -9.00
2005je      A023526+0104                 0.038     6.55     5.49    0.048     7.06     2.36    0.068     7.68     1.47    0.072     7.74     1.18    0.074     7.73     1.02
1984L       NGC0991                      0.567    -0.44     5.49    0.581    -0.55     3.41    0.604    -0.46     2.98    0.610    -0.45     2.75    0.625    -0.38     2.75
2005ju      A023628+0030                 0.317    11.30    12.45    0.169    10.92    12.28    0.207    12.96    12.28    0.219   -99.00    -9.00    0.218   -99.00    -9.00
2011jf      UGC02134                     0.020   -99.00    -9.00    0.030     4.13     8.69    0.034     4.39     6.14    0.037     4.33     4.64    0.042     4.00     3.28
2005E       NGC1032                      0.966    -2.33     8.69    0.989    -3.66     8.69    0.994    -3.67     8.69    0.992    -2.58     8.69    0.989    -2.12     8.69
1990E       NGC1035                      0.364     2.02     8.69    0.370     0.33     2.28    0.390    -0.00     1.45    0.398     0.11     1.30    0.435     0.19     1.20
2005jv      A024050+0059                -9.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00
2004ib      A024056-0010                 0.002   -99.00    -9.00    0.002   -99.00    -9.00    0.002     5.48     8.69    0.003     4.84     5.01    0.003     4.67     4.34
2004hx      A024112-0052                 0.001   -99.00    -9.00    0.002   -99.00    -9.00    0.002     6.00    12.28    0.002     6.28    12.28    0.002   -99.00    -9.00
2005lq      A024136+0012                 0.273   -99.00    -9.00    0.128   -99.00    -9.00    0.213   -99.00    -9.00    0.305   -99.00    -9.00    1.000   -99.00    -9.00
2005ft      A024204-0032                 0.483    14.18    14.54    0.357    13.20    12.29    0.401    13.23     6.15    0.466    13.94     4.66    0.750    15.04     3.83
2011aq      NGC1056                      0.102     0.51     1.69    0.122     0.55     0.84    0.132     0.53     0.55    0.132     0.52     0.43    0.154     0.48     0.35
2004fd      NGC1060                      0.086     2.34     7.09    0.129     0.91     1.44    0.132     0.90     0.88    0.132     0.90     0.68    0.139     0.90     0.57
2008ie      NGC1070                      0.461     0.30     7.09    0.502     0.63     4.34    0.549     0.55     2.98    0.576     0.32     2.21    0.578     0.33     2.02
2004I       NGC1072                      0.142     1.18     4.34    0.205     0.72     1.61    0.251     0.84     1.15    0.264     0.86     0.94    0.288     0.92     0.84
1962L       NGC1073                      0.138    -6.64   100.25   -9.000   -99.00    -9.00    0.138    -5.15     7.09    0.138    -6.03   100.25   -9.000   -99.00    -9.00
2008gi      A024400+0525                 0.191     1.70     6.14    0.208     1.37     3.17    0.222     0.68     1.81    0.224     0.62     1.56    0.247     0.77     1.51
1988Y       A024454-0824                 0.000     2.52     8.69    0.000     4.45     8.69    0.001     6.51    12.28    0.001     6.58     8.69    0.001     7.71    12.28
2005mh      A024456+0012                 0.049   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000   -99.00    -9.00    1.000     5.24    12.42
2009I       NGC1080                      0.423     1.05     7.09    0.418     1.31     4.64    0.440     0.65     2.68    0.448     0.61     2.32    0.481     0.65     2.17
1963P       NGC1084                      0.556     1.29     5.49    0.592     1.60     4.09    0.597     1.30     2.82    0.590     1.04     2.24    0.640     0.85     1.97
1996an      NGC1084                      0.702    -2.64     1.32    0.731    -2.36     0.96    0.731    -2.18     0.83    0.718    -2.10     0.77    0.769    -2.21     0.71
1998dl      NGC1084                      0.596     0.03     3.17    0.630    -0.72     1.48    0.633    -0.57     1.27    0.624    -0.58     1.14    0.675    -0.60     1.08
2009H       NGC1084                      0.695    -0.50     3.41    0.724    -1.31     1.50    0.724    -1.35     1.18    0.711    -1.41     1.02    0.762    -1.47     0.97
2012ec      NGC1084                      0.434    -0.92     1.36    0.478    -0.80     0.96    0.486    -0.64     0.84    0.485    -0.70     0.75    0.532    -0.69     0.71
2008al      A024607-0738                 0.999    -1.61    12.29    0.999   -99.00    -9.00    0.999     0.28    12.28    0.999     0.68    12.28    0.999     0.74    12.28
1995V       NGC1087                      0.403     0.58     4.09    0.364     0.18     2.21    0.375     0.03     1.70    0.373    -0.07     1.46    0.389    -0.12     1.34
1962K       NGC1090                      0.947    -2.82     7.10    0.958    -2.11     6.14    0.965    -2.43     4.34    0.965    -2.47     3.70    0.970    -2.78     3.07
1971T       NGC1090                      0.482     0.11     7.09    0.544     0.29     4.34    0.592    -0.47     2.36    0.612    -0.32     2.21    0.637    -0.45     1.92
2007og      A024820-0058                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2006eh      UGC02308                     0.203     1.05     7.09    0.238     0.82     3.28    0.279     0.54     1.97    0.295     0.63     1.66    0.297     0.48     1.32
2009iq      UGC02308                     0.384   -99.00    -9.00    0.435   -99.00    -9.00    0.487     0.70     4.64    0.506    -0.00     2.75    0.504    -0.16     2.21
2005fu      A025032+0048                 0.560    13.86     7.33    0.369    12.40     5.02    0.373    12.42     3.89    0.394    12.77     3.29    0.406    12.67     3.16
2005jt      A025040-0003                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.001   -99.00    -9.00
2008ey      IC0262                       0.432     0.50    12.28    0.449     0.93     6.14    0.471     0.38     3.17    0.470     0.19     2.32    0.476     0.12     1.97
2007ke      NGC1129                      0.267    -0.20     8.69    0.345     1.17     7.09    0.360     0.79     3.88    0.358     0.65     2.90    0.382     0.35     2.21
2002hj      A025809+0441                 0.486     1.48    12.28    0.487     2.47    12.28    0.472     1.72     7.09    0.466     2.40     8.69    0.452     1.23     4.64
2005aj      UGC02411                     0.526   -99.00    -9.00    0.539     0.04     8.69    0.563    -0.50     4.34    0.572    -1.23     2.36    0.614    -1.13     2.05
2003kd      UGC02468                     0.042     1.81    12.28    0.075     1.33     3.88    0.089     0.67     1.81    0.085     0.37     1.23    0.088     0.47     1.09
2005gj      A030111-0033                 0.048     4.69    12.28    0.011     5.20    12.28    0.012     5.83    12.28    0.010     6.42    12.28    0.011     5.85    12.28
2003hw      A030150+3544                 0.302     2.52    12.28    0.332     2.47     5.01    0.343     1.97     2.56    0.348     1.92     2.02    0.341     1.80     1.66
1993ab      NGC1164                      0.647     1.00    12.28    0.710     1.05     7.09    0.743     0.79     4.64    0.753     0.85     4.09    0.784     0.46     3.17
2005do      UGC02495                     0.455    -2.68     5.02    0.743    -2.49     5.49    0.866    -2.07     5.49    0.796    -1.71     5.01    0.907    -1.64     4.64
2005lc      A030211-0109                 0.005     3.70     8.69    0.003     4.02     7.09    0.003     3.81     5.49   -9.000   -99.00    -9.00    0.003     3.93     5.01
1999fe      A030301+0012                 0.001   -99.00    -9.00    0.023   -99.00    -9.00    0.021   -99.00    -9.00    0.007   -99.00    -9.00    0.000   -99.00    -9.00
2005ij      A030421-0103                 0.008   -99.00    -9.00    0.012     6.82    12.28    0.016     5.69     3.70    0.018     5.92     3.07    0.024     6.21     2.62
SDSS4064    A030426+0102                 0.016     5.55     5.49    0.024     6.21     2.28    0.028     6.46     1.29    0.028     6.42     1.02    0.030     6.48     0.86
2005fv      A030522+0051                 0.035     3.93    12.28    0.006     5.63     8.69    0.009     7.12     8.69    0.011     7.41     7.09    0.015     8.46     8.69
2005ek      UGC02526                     0.102     1.28    12.28    0.509   -99.00    -9.00    0.644     1.77     8.69    0.545     2.14     7.09    0.817     0.97     5.01
2005ez      A030710+0107                 0.190   -99.00    -9.00    0.279    13.31    12.28    0.343    12.67     3.89    0.323    12.42     3.07    0.332    12.17     2.47
2008ao      A030746+3822                 0.683     1.76    12.28    0.672     2.12     8.69    0.671     2.26     7.09    0.656     1.77     5.01    0.672     1.34     3.70
2006qw      A030846+1856                 0.001     1.35     5.02    0.003     2.41     2.11    0.003     3.00     1.72    0.005     4.06     1.85    0.005     4.28     1.72
2008ak      UGC02519                     0.360     0.32     6.14    0.343    -0.04     2.90    0.339    -0.29     1.83    0.338    -0.28     1.54    0.350    -0.33     1.32
SDSS10106   A031046-0012                 1.000   -99.00    -9.00    0.401   -99.00    -9.00    0.346   -99.00    -9.00    0.484   -99.00    -9.00    0.523   -99.00    -9.00
2007gl      A031133-0044                 0.001     4.19     8.69    0.003     5.72     6.14    0.004     6.74     6.14    0.005     7.17     6.14    0.005     7.48     6.14
1975J       A031206+4209                 0.171   -99.00    -9.00    0.177   -99.00    -9.00    0.198   -99.00    -9.00    0.162   -99.00    -9.00    0.218   -99.00    -9.00
2009lj      NGC1233                      0.792     0.48    12.28    0.833     1.75    12.28    0.869     1.60     8.69    0.875     0.95     5.49    0.894     0.37     3.88
2000F       IC0302                       0.230     0.27     8.69    0.301     0.75     5.49    0.355     1.01     4.34    0.372     1.10     3.70    0.390     0.75     2.75
2001ew      A031306+4226                 0.001   -99.00    -9.00    0.005   -99.00    -9.00    0.006   -99.00    -9.00    0.006   -99.00    -9.00    0.007   -99.00    -9.00
2005em      IC0307                       0.910    -0.81    12.28    0.937     0.50    12.28    0.945    -0.29     6.14    0.940    -0.95     3.70    0.951    -1.25     2.98
2007kh      A031512+4310                 0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00    0.000   -99.00    -9.00
2008L       NGC1259                      0.627     0.22    12.28    0.637     1.25     8.69    0.653     1.72     7.09    0.631     1.31     4.64    0.766     0.60     2.98
2006gy      NGC1260                      0.110    -0.04     2.02    0.126    -0.01     0.85    0.131     0.02     0.55    0.131     0.02     0.44    0.143     0.01     0.36
2004F       NGC1285                      0.314     0.12     3.41    0.353    -0.17     1.81    0.392    -0.42     1.29    0.408    -0.40     1.15    0.436    -0.36     1.08
2013el      NGC1285                      0.464    -0.60     2.68    0.494    -0.22     2.05    0.530    -0.06     1.81    0.542     0.06     1.72    0.569    -0.06     1.54
1964B       UGC02646                     0.983    -2.57    12.32    0.980    -1.47     8.69    0.981    -0.90     7.09    0.977    -0.63     6.14    0.980    -1.26     4.10
